id,name,unit,data_type,description,createdAt,updatedAt,code,coverage,timespan,datasetId,sourceId,shortUnit,columnOrder,originalMetadata
62168,DALYs (Disability-Adjusted Life Years) - Depressive disorders - Sex: Both - Age: 15-49 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:32,2 567 3 24 3,,,1734,13044,\N,0,\N
62170,DALYs (Disability-Adjusted Life Years) - Depressive disorders - Sex: Both - Age: 50-69 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:32,2 567 3 25 3,,,1734,13044,\N,0,\N
62172,DALYs (Disability-Adjusted Life Years) - Depressive disorders - Sex: Both - Age: 70+ years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:32,2 567 3 26 3,,,1734,13044,\N,0,\N
62173,DALYs (Disability-Adjusted Life Years) - Depressive disorders - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:32,2 567 3 27 3,,,1734,13044,\N,0,\N
62186,DALYs (Disability-Adjusted Life Years) - Major depressive disorder - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:51,2 568 3 27 3,,,1735,13045,\N,0,\N
62203,DALYs (Disability-Adjusted Life Years) - Bipolar disorder - Sex: Both - Age: All Ages (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:51,2 570 3 22 3,,,1737,13047,\N,0,\N
62205,DALYs (Disability-Adjusted Life Years) - Bipolar disorder - Sex: Both - Age: 5-14 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 570 3 23 3,,,1737,13047,\N,0,\N
62207,DALYs (Disability-Adjusted Life Years) - Bipolar disorder - Sex: Both - Age: 15-49 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 570 3 24 3,,,1737,13047,\N,0,\N
62209,DALYs (Disability-Adjusted Life Years) - Bipolar disorder - Sex: Both - Age: 50-69 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 570 3 25 3,,,1737,13047,\N,0,\N
62211,DALYs (Disability-Adjusted Life Years) - Bipolar disorder - Sex: Both - Age: 70+ years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 570 3 26 3,,,1737,13047,\N,0,\N
62212,DALYs (Disability-Adjusted Life Years) - Bipolar disorder - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 570 3 27 3,,,1737,13047,\N,0,\N
62214,DALYs (Disability-Adjusted Life Years) - Anxiety disorders - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 571 3 1 3,,,1738,13048,\N,0,\N
62215,DALYs (Disability-Adjusted Life Years) - Anxiety disorders - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 571 3 22 1,,,1738,13048,\N,0,\N
62216,DALYs (Disability-Adjusted Life Years) - Anxiety disorders - Sex: Both - Age: All Ages (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 571 3 22 3,,,1738,13048,\N,0,\N
62218,DALYs (Disability-Adjusted Life Years) - Anxiety disorders - Sex: Both - Age: 5-14 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 571 3 23 3,,,1738,13048,\N,0,\N
62220,DALYs (Disability-Adjusted Life Years) - Anxiety disorders - Sex: Both - Age: 15-49 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 571 3 24 3,,,1738,13048,\N,0,\N
62222,DALYs (Disability-Adjusted Life Years) - Anxiety disorders - Sex: Both - Age: 50-69 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 571 3 25 3,,,1738,13048,\N,0,\N
62224,DALYs (Disability-Adjusted Life Years) - Anxiety disorders - Sex: Both - Age: 70+ years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 571 3 26 3,,,1738,13048,\N,0,\N
62225,DALYs (Disability-Adjusted Life Years) - Anxiety disorders - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 571 3 27 3,,,1738,13048,\N,0,\N
62228,DALYs (Disability-Adjusted Life Years) - Eating disorders - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 572 3 22 1,,,1729,13039,\N,0,\N
62229,DALYs (Disability-Adjusted Life Years) - Eating disorders - Sex: Both - Age: All Ages (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 572 3 22 3,,,1729,13039,\N,0,\N
62231,DALYs (Disability-Adjusted Life Years) - Eating disorders - Sex: Both - Age: 5-14 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 572 3 23 3,,,1729,13039,\N,0,\N
62233,DALYs (Disability-Adjusted Life Years) - Eating disorders - Sex: Both - Age: 15-49 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:52,2 572 3 24 3,,,1729,13039,\N,0,\N
62235,DALYs (Disability-Adjusted Life Years) - Eating disorders - Sex: Both - Age: 50-69 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:53,2 572 3 25 3,,,1729,13039,\N,0,\N
62237,DALYs (Disability-Adjusted Life Years) - Eating disorders - Sex: Both - Age: 70+ years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:53,2 572 3 26 3,,,1729,13039,\N,0,\N
62238,DALYs (Disability-Adjusted Life Years) - Eating disorders - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:53,2 572 3 27 3,,,1729,13039,\N,0,\N
62277,DALYs (Disability-Adjusted Life Years) - Autistic spectrum disorders - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:54,2 575 3 27 3,,,1739,13049,\N,0,\N
62387,DALYs (Disability-Adjusted Life Years) - Neglected tropical diseases and malaria - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 2:33,2 344 3 22 1,,,1606,12916,\N,0,\N
62410,DALYs (Disability-Adjusted Life Years) - Kidney cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 2:57,2 471 3 27 3,,,1479,12789,\N,0,\N
62423,DALYs (Disability-Adjusted Life Years) - Bladder cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 2:57,2 474 3 27 3,,,1725,13035,\N,0,\N
62436,DALYs (Disability-Adjusted Life Years) - Brain and nervous system cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 2:57,2 477 3 27 3,,,1726,13036,\N,0,\N
62607,DALYs (Disability-Adjusted Life Years) - Musculoskeletal disorders - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/23/19 23:36,2 626 3 22 1,,,1648,12958,\N,0,\N
62801,DALYs (Disability-Adjusted Life Years) - Other non-communicable diseases - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/23/19 23:39,2 640 3 22 1,,,1569,12879,\N,0,\N
62909,DALYs (Disability-Adjusted Life Years) - Non-communicable diseases - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 2:39,2 409 3 1 1,,,1580,12890,\N,0,\N
62911,DALYs (Disability-Adjusted Life Years) - Non-communicable diseases - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 2:39,2 409 3 22 1,,,1580,12890,\N,0,\N
62913,DALYs (Disability-Adjusted Life Years) - Non-communicable diseases - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 2:39,2 409 3 23 1,,,1580,12890,\N,0,\N
62915,DALYs (Disability-Adjusted Life Years) - Non-communicable diseases - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 2:39,2 409 3 24 1,,,1580,12890,\N,0,\N
62917,DALYs (Disability-Adjusted Life Years) - Non-communicable diseases - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 2:39,2 409 3 25 1,,,1580,12890,\N,0,\N
62919,DALYs (Disability-Adjusted Life Years) - Non-communicable diseases - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 2:39,2 409 3 26 1,,,1580,12890,\N,0,\N
62921,DALYs (Disability-Adjusted Life Years) - Non-communicable diseases - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 2:39,2 409 3 27 3,,,1580,12890,\N,0,\N
62978,DALYs (Disability-Adjusted Life Years) - Neurological disorders - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 1:28,2 542 3 22 1,,,1707,13017,\N,0,\N
63094,DALYs (Disability-Adjusted Life Years) - Mental and substance use disorders - Sex: Both - Age: Under 5 (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:28,2 558 3 1 3,,,1589,12899,\N,0,\N
63095,DALYs (Disability-Adjusted Life Years) - Mental and substance use disorders - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/23/19 23:28,2 558 3 22 1,,,1589,12899,\N,0,\N
63096,DALYs (Disability-Adjusted Life Years) - Mental and substance use disorders - Sex: Both - Age: All Ages (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:28,2 558 3 22 3,,,1589,12899,\N,0,\N
63098,DALYs (Disability-Adjusted Life Years) - Mental and substance use disorders - Sex: Both - Age: 5-14 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:28,2 558 3 23 3,,,1589,12899,\N,0,\N
63100,DALYs (Disability-Adjusted Life Years) - Mental and substance use disorders - Sex: Both - Age: 15-49 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:28,2 558 3 24 3,,,1589,12899,\N,0,\N
63102,DALYs (Disability-Adjusted Life Years) - Mental and substance use disorders - Sex: Both - Age: 50-69 years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:28,2 558 3 25 3,,,1589,12899,\N,0,\N
63104,DALYs (Disability-Adjusted Life Years) - Mental and substance use disorders - Sex: Both - Age: 70+ years (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:28,2 558 3 26 3,,,1589,12899,\N,0,\N
63105,DALYs (Disability-Adjusted Life Years) - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:28,2 558 3 27 3,,,1589,12899,\N,0,\N
63197,DALYs (Disability-Adjusted Life Years) - Attention-deficit/hyperactivity disorder - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/23/19 23:54,2 578 3 27 3,,,1742,13052,\N,0,\N
63226,DALYs (Disability-Adjusted Life Years) - Other mental and substance use disorders - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/23/19 23:55,2 585 3 22 1,,,1762,13072,\N,0,\N
63297,DALYs (Disability-Adjusted Life Years) - Thyroid cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 2:57,2 480 3 27 3,,,1727,13037,\N,0,\N
63313,DALYs (Disability-Adjusted Life Years) - Neoplasms - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 15:28,4/24/19 2:39,2 410 3 22 1,,,1715,13025,\N,0,\N
63323,DALYs (Disability-Adjusted Life Years) - Neoplasms - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 2:39,2 410 3 27 3,,,1715,13025,\N,0,\N
63336,DALYs (Disability-Adjusted Life Years) - Esophageal cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 2:40,2 411 3 27 3,,,1716,13026,\N,0,\N
63349,DALYs (Disability-Adjusted Life Years) - Stomach cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 2:40,2 414 3 27 3,,,1717,13027,\N,0,\N
63362,DALYs (Disability-Adjusted Life Years) - Liver cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 2:40,2 417 3 27 3,,,1718,13028,\N,0,\N
63427,DALYs (Disability-Adjusted Life Years) - Larynx cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 0:42,2 423 3 27 3,,,1723,13033,\N,0,\N
63440,"DALYs (Disability-Adjusted Life Years) - Tracheal, bronchus, and lung cancer - Sex: Both - Age: Age-standardized (Rate)",Rate,numeric,\N,11/20/17 15:28,4/24/19 2:58,2 426 3 27 3,,,1527,12837,\N,0,\N
63453,DALYs (Disability-Adjusted Life Years) - Breast cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 2:58,2 429 3 27 3,,,1528,12838,\N,0,\N
63466,DALYs (Disability-Adjusted Life Years) - Cervical cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 0:46,2 432 3 27 3,,,1529,12839,\N,0,\N
63479,DALYs (Disability-Adjusted Life Years) - Uterine cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 0:46,2 435 3 27 3,,,1530,12840,\N,0,\N
63492,DALYs (Disability-Adjusted Life Years) - Prostate cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 0:47,2 438 3 27 3,,,1531,12841,\N,0,\N
63505,DALYs (Disability-Adjusted Life Years) - Colon and rectum cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 0:47,2 441 3 27 3,,,1532,12842,\N,0,\N
63518,DALYs (Disability-Adjusted Life Years) - Lip and oral cavity cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 0:48,2 444 3 27 3,,,1533,12843,\N,0,\N
63531,DALYs (Disability-Adjusted Life Years) - Nasopharynx cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 0:49,2 447 3 27 3,,,1534,12844,\N,0,\N
63557,DALYs (Disability-Adjusted Life Years) - Gallbladder and biliary tract cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 0:50,2 453 3 27 3,,,1536,12846,\N,0,\N
63570,DALYs (Disability-Adjusted Life Years) - Pancreatic cancer - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 15:28,4/24/19 0:50,2 456 3 27 3,,,1724,13034,\N,0,\N
63606,Deaths - Diet low in fruits - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:27,1 111 3 26 1,,,1763,13073,\N,0,\N
63609,Deaths - Diet low in vegetables - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:27,1 112 3 22 1,,,1764,13074,\N,0,\N
63611,Deaths - Diet low in vegetables - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:27,1 112 3 24 1,,,1764,13074,\N,0,\N
63613,Deaths - Diet low in vegetables - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:27,1 112 3 25 1,,,1764,13074,\N,0,\N
63615,Deaths - Diet low in vegetables - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:27,1 112 3 26 1,,,1764,13074,\N,0,\N
63867,Deaths - Unsafe sex - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 170 3 22 1,,,1772,13082,\N,0,\N
63869,Deaths - Unsafe sex - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 170 3 23 1,,,1772,13082,\N,0,\N
63871,Deaths - Unsafe sex - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 170 3 24 1,,,1772,13082,\N,0,\N
63873,Deaths - Unsafe sex - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 170 3 25 1,,,1772,13082,\N,0,\N
63875,Deaths - Unsafe sex - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 170 3 26 1,,,1772,13082,\N,0,\N
63887,Deaths - No access to handwashing facility - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 238 3 1 1,,,1774,13084,\N,0,\N
63889,Deaths - No access to handwashing facility - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 238 3 22 1,,,1774,13084,\N,0,\N
63891,Deaths - No access to handwashing facility - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 238 3 23 1,,,1774,13084,\N,0,\N
63893,Deaths - No access to handwashing facility - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 238 3 24 1,,,1774,13084,\N,0,\N
63895,Deaths - No access to handwashing facility - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 238 3 25 1,,,1774,13084,\N,0,\N
63897,Deaths - No access to handwashing facility - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 238 3 26 1,,,1774,13084,\N,0,\N
63900,Deaths - Child wasting - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 240 3 1 1,,,1775,13085,\N,0,\N
63902,Deaths - Child wasting - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 240 3 22 1,,,1775,13085,\N,0,\N
63905,Deaths - Child stunting - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 241 3 1 1,,,1776,13086,\N,0,\N
63907,Deaths - Child stunting - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 241 3 22 1,,,1776,13086,\N,0,\N
63991,Deaths - Low physical activity - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:28,1 125 3 22 1,,,1796,13106,\N,0,\N
63993,Deaths - Low physical activity - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:28,1 125 3 24 1,,,1796,13106,\N,0,\N
63995,Deaths - Low physical activity - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:28,1 125 3 25 1,,,1796,13106,\N,0,\N
63997,Deaths - Low physical activity - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:28,1 125 3 26 1,,,1796,13106,\N,0,\N
64045,Deaths - Non-exclusive breastfeeding - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:27,1 136 3 1 1,,,1801,13111,\N,0,\N
64047,Deaths - Non-exclusive breastfeeding - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:27,1 136 3 22 1,,,1801,13111,\N,0,\N
64050,Deaths - Discontinued breastfeeding - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:27,1 137 3 1 1,,,1802,13112,\N,0,\N
64052,Deaths - Discontinued breastfeeding - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:27,1 137 3 22 1,,,1802,13112,\N,0,\N
64252,Deaths - Iron deficiency - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 95 3 22 1,,,1808,13118,\N,0,\N
64254,Deaths - Iron deficiency - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 95 3 23 1,,,1808,13118,\N,0,\N
64256,Deaths - Iron deficiency - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 95 3 24 1,,,1808,13118,\N,0,\N
64258,Deaths - Iron deficiency - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 95 3 25 1,,,1808,13118,\N,0,\N
64265,Deaths - Vitamin A deficiency - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 96 3 22 1,,,1809,13119,\N,0,\N
64270,Deaths - Zinc deficiency - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 97 3 22 1,,,1810,13120,\N,0,\N
64273,Deaths - Smoking - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 99 3 22 1,,,1811,13121,\N,0,\N
64275,Deaths - Smoking - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 99 3 24 1,,,1811,13121,\N,0,\N
64277,Deaths - Smoking - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 99 3 25 1,,,1811,13121,\N,0,\N
64279,Deaths - Smoking - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 99 3 26 1,,,1811,13121,\N,0,\N
64281,Deaths - Smoking - Sex: Both - Age: Age-standardized (Rate),Rate,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 99 3 27 3,,,1811,13121,\N,0,\N
64282,Deaths - Secondhand smoke - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 19:25,4/23/19 16:26,1 100 3 1 1,,,1812,13122,\N,0,\N
64284,Deaths - Secondhand smoke - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 100 3 22 1,,,1812,13122,\N,0,\N
64286,Deaths - Secondhand smoke - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 100 3 23 1,,,1812,13122,\N,0,\N
64288,Deaths - Secondhand smoke - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 100 3 24 1,,,1812,13122,\N,0,\N
64290,Deaths - Secondhand smoke - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 100 3 25 1,,,1812,13122,\N,0,\N
64292,Deaths - Secondhand smoke - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 100 3 26 1,,,1812,13122,\N,0,\N
64295,Deaths - Alcohol use - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 102 3 22 1,,,1813,13123,\N,0,\N
64297,Deaths - Alcohol use - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 102 3 23 1,,,1813,13123,\N,0,\N
64299,Deaths - Alcohol use - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 102 3 24 1,,,1813,13123,\N,0,\N
64301,Deaths - Alcohol use - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 102 3 25 1,,,1813,13123,\N,0,\N
64303,Deaths - Alcohol use - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 102 3 26 1,,,1813,13123,\N,0,\N
64308,Deaths - Drug use - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 103 3 22 1,,,1814,13124,\N,0,\N
64310,Deaths - Drug use - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 103 3 23 1,,,1814,13124,\N,0,\N
64312,Deaths - Drug use - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 103 3 24 1,,,1814,13124,\N,0,\N
64314,Deaths - Drug use - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 103 3 25 1,,,1814,13124,\N,0,\N
64316,Deaths - Drug use - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 103 3 26 1,,,1814,13124,\N,0,\N
64319,Deaths - High fasting plasma glucose - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 105 3 1 1,,,1803,13113,\N,0,\N
64321,Deaths - High fasting plasma glucose - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:26,1 105 3 22 1,,,1803,13113,\N,0,\N
64323,Deaths - High fasting plasma glucose - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:27,1 105 3 23 1,,,1803,13113,\N,0,\N
64325,Deaths - High fasting plasma glucose - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:27,1 105 3 24 1,,,1803,13113,\N,0,\N
64327,Deaths - High fasting plasma glucose - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:27,1 105 3 25 1,,,1803,13113,\N,0,\N
64329,Deaths - High fasting plasma glucose - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:27,1 105 3 26 1,,,1803,13113,\N,0,\N
64343,Deaths - High systolic blood pressure - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:27,1 107 3 22 1,,,1805,13115,\N,0,\N
64345,Deaths - High systolic blood pressure - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:27,1 107 3 23 1,,,1805,13115,\N,0,\N
64347,Deaths - High systolic blood pressure - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:27,1 107 3 24 1,,,1805,13115,\N,0,\N
64349,Deaths - High systolic blood pressure - Sex: Both - Age: 50-69 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:27,1 107 3 25 1,,,1805,13115,\N,0,\N
64351,Deaths - High systolic blood pressure - Sex: Both - Age: 70+ years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:27,1 107 3 26 1,,,1805,13115,\N,0,\N
64354,Deaths - High body-mass index - Sex: Both - Age: Under 5 (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:27,1 108 3 1 1,,,1806,13116,\N,0,\N
64356,Deaths - High body-mass index - Sex: Both - Age: All Ages (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:27,1 108 3 22 1,,,1806,13116,\N,0,\N
64358,Deaths - High body-mass index - Sex: Both - Age: 5-14 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:27,1 108 3 23 1,,,1806,13116,\N,0,\N
64360,Deaths - High body-mass index - Sex: Both - Age: 15-49 years (Number),Number,numeric,\N,11/20/17 19:26,4/23/19 16:27,1 108 3 24 1,,,1806,13116,\N,0,\N
